FIPS,bronze.rate,silver.rate,gold.rate,Column1,bronze percent difference,Column3,Column4,Column5,Class,,,26,,,,,,,,,
36059,579.5563636,774.8535294,994.4188462,3.144459223,79%,96.192%,120.334%,98.472%,a,,,a,2,,,0.79,184.3103448,,,,
36103,579.5563636,774.8535294,994.4188462,3.144459223,79%,96.192%,120.334%,98.472%,a,,-42%,b,5,,,0.79,323.974898,394.945625,451.3242857,,
36005,572.5125,758.6325974,961.4319355,3.106241815,77%,92.085%,113.025%,93.942%,b,,,c,14,,,0.77,,,,,
36047,572.5125,758.6325974,961.4319355,3.106241815,77%,92.085%,113.025%,93.942%,b,,,d,19,,,0.77,-43%,,,,
36061,572.5125,758.6325974,961.4319355,3.106241815,77%,92.085%,113.025%,93.942%,b,,,e,3,,,0.77,100%,,15,,
36081,572.5125,758.6325974,961.4319355,3.106241815,77%,92.085%,113.025%,93.942%,b,,,f,25,,,0.77,,,14,,
36085,572.5125,758.6325974,961.4319355,3.106241815,77%,92.085%,113.025%,93.942%,b,,,g,4,,,0.77,,,,,
50001,601.702,756.6172727,834.9566667,3.264613283,86%,91.575%,85.001%,87.434%,c,,,h,56,,,0.86,,,,,
50003,601.702,756.6172727,834.9566667,3.264613283,86%,91.575%,85.001%,87.434%,c,,,j,7,,,0.86,,,,,
50005,601.702,756.6172727,834.9566667,3.264613283,86%,91.575%,85.001%,87.434%,c,,,k,127,,,0.86,,,,95,
50007,601.702,756.6172727,834.9566667,3.264613283,86%,91.575%,85.001%,87.434%,c,,,l,100,,,0.86,,,,,
50009,601.702,756.6172727,834.9566667,3.264613283,86%,91.575%,85.001%,87.434%,c,,,m,124,,,0.86,0.788892804,2,,79%,2
50011,601.702,756.6172727,834.9566667,3.264613283,86%,91.575%,85.001%,87.434%,c,,,n,50,,,0.86,0.7671508,5,,77%,5
50013,601.702,756.6172727,834.9566667,3.264613283,86%,91.575%,85.001%,87.434%,c,,,o,102,,,0.86,0.857248829,14,,86%,14
50015,601.702,756.6172727,834.9566667,3.264613283,86%,91.575%,85.001%,87.434%,c,,,p,146,,,0.86,0.711575011,1,,71%,1
